artist_name,artist_id,first_added,first_song,first_album,first_album_type,last_added,last_song,last_album,last_album_type,main_songs_count,featured_songs_count,liked_songs_count,genres_count
Saul Williams,11K0HIZKfdB6ez0VhIgxPm,2022-03-25 16:33:33+00:00,Mental [Feat. Saul Williams & Bridget Perez],Melt My Eyez See Your Future,album,2022-03-25 16:33:33+00:00,Mental [Feat. Saul Williams & Bridget Perez],Melt My Eyez See Your Future,album,0,1,1,0
Bridget Perez,5ZO14S0SgrvkUtV2GJ1buo,2022-03-25 16:33:33+00:00,Mental [Feat. Saul Williams & Bridget Perez],Melt My Eyez See Your Future,album,2022-03-25 16:33:33+00:00,Mental [Feat. Saul Williams & Bridget Perez],Melt My Eyez See Your Future,album,0,1,1,0
Buzzy Lee,0cz2DZrX5wGn1XUdIPKYYQ,2022-03-25 16:28:07+00:00,John Wayne [Feat. Buzzy Lee],Melt My Eyez See Your Future,album,2022-03-25 16:28:07+00:00,John Wayne [Feat. Buzzy Lee],Melt My Eyez See Your Future,album,0,1,1,0
Teriyaki Boyz,7HBai5xymOxIWoMWvWshe1,2022-03-18 04:04:11+00:00,Morë Tonight (with Nigo),Morë Tonight,single,2022-03-25 14:28:11+00:00,Morë Tonight (with Nigo),I Know NIGO!,album,2,0,2,0
Landon Barker,7tWnepocfeqynsYC75hWoF,2022-03-25 07:50:21+00:00,"die in california (feat. Gunna, Young Thug & Landon Barker)",mainstream sellout,album,2022-03-25 07:50:21+00:00,"die in california (feat. Gunna, Young Thug & Landon Barker)",mainstream sellout,album,0,1,1,0
Adas,5S8PftWr5hRwoud7XGLcVD,2020-06-30 17:10:44+00:00,Craving the Ocean,Vacant,single,2022-03-25 04:08:04+00:00,Chances,Chances,single,2,0,2,0
Billy Bueffer,6KFjNCl6rofxLDz5ZhwIkN,2020-04-18 02:02:06+00:00,Insecure,Insecure,single,2022-03-25 04:08:04+00:00,Chances,Chances,single,4,2,6,0
danny orange,0uEtD5ztXw2PYCyLwOK3QT,2022-03-25 04:03:43+00:00,say it twice,say it twice,single,2022-03-25 04:03:43+00:00,say it twice,say it twice,single,1,0,1,0
Sheff G,1tG7s7S4sq2eFFW0QZyLbm,2020-05-12 06:10:53+00:00,Wet Em Up Pt. 2,State of Emergency,album,2022-03-25 04:03:10+00:00,Break From It,Break From It,single,8,4,12,0
Dancody,5nBggqz80XWqMUkMDndDnS,2021-01-01 05:30:48+00:00,Moving Lonely,Moving Lonely,single,2022-03-25 04:01:32+00:00,Coachella Vibes - Slowed & Reverbed,Coachella Vibes,single,2,0,2,0
Pollari,4A55B07fj8Dwb525T2vlqJ,2020-05-06 03:38:25+00:00,Fantasy,"Forever, Yours",album,2022-03-25 04:01:12+00:00,Company,Company,single,3,0,3,0
Mary J. Blige,1XkoF8ryArs86LZvFOkbyr,2019-08-01 21:24:50+00:00,Now Or Never - Bonus Track,"good kid, m.A.A.d city (Deluxe)",album,2022-03-25 04:01:07+00:00,Good Morning Gorgeous (feat. H.E.R.),Good Morning Gorgeous (feat. H.E.R.),single,2,1,3,0
Tee,5cdrxr9s52oZCf78xOLa4R,2022-03-25 03:58:49+00:00,Pink Dolphin Sunset (feat. Tee),Alone At Prom,album,2022-03-25 03:58:49+00:00,Pink Dolphin Sunset (feat. Tee),Alone At Prom,album,0,1,1,0
Tito Flow,4hH0kU21cZ8vbWNuRhXk7v,2022-03-24 23:57:34+00:00,Ausente,Ausente,single,2022-03-24 23:57:34+00:00,Ausente,Ausente,single,1,0,1,0
Amenazzy,6kq4GHwUcUojGIu0ziSNXf,2019-08-01 21:23:35+00:00,Baby,Baby,single,2022-03-24 23:57:34+00:00,Ausente,Ausente,single,2,4,6,0
GRIP,4Ew8VmfE06siL2THiMBwPP,2022-03-23 02:27:31+00:00,Dirty Work,Dirty Work,single,2022-03-23 02:27:31+00:00,Dirty Work,Dirty Work,single,1,0,1,0
Col3trane,4hTL3jOgvZwOqegEZTOrCc,2020-04-03 18:39:57+00:00,Good Girl. (ft. Col3trane),KIKI,album,2022-03-23 02:27:17+00:00,Plus Minus (with Erick the Architect),Plus Minus (with Erick the Architect),single,1,2,3,0
Sam James,22PU1TSXSiqGGk4mSVMxYj,2022-03-23 02:26:57+00:00,"Going Through It (feat. Moneybagg Yo, NoCap)","Going Through It (feat. Moneybagg Yo, NoCap)",single,2022-03-23 02:26:57+00:00,"Going Through It (feat. Moneybagg Yo, NoCap)","Going Through It (feat. Moneybagg Yo, NoCap)",single,1,0,1,0
Zach Hood,5aHlyw2WWqZW0HLICBuv7U,2022-03-23 02:26:23+00:00,never knew a heart could break itself,never knew a heart could break itself,single,2022-03-23 02:26:23+00:00,never knew a heart could break itself,never knew a heart could break itself,single,1,0,1,0
Ruby Red,2f0NSj1t2L6JowHINXCFb6,2022-03-23 02:26:00+00:00,Too Late (To Call),Too Late (To Call),single,2022-03-23 02:26:00+00:00,Too Late (To Call),Too Late (To Call),single,1,0,1,0
Cami,3VCrybIJKH7UurbDcZbMmn,2022-03-23 02:25:01+00:00,EL PEOR,EL PEOR,single,2022-03-23 02:25:01+00:00,EL PEOR,EL PEOR,single,1,0,1,0
Elaine,5ZkuGe2wkDbeL8JmmhvMOx,2022-03-23 02:24:35+00:00,Shine,Shine,single,2022-03-23 02:24:35+00:00,Shine,Shine,single,1,0,1,0
Mark Hoppus,0FOYGJujASE1pCw5WNHf0g,2022-03-21 19:09:51+00:00,All I Wanted (feat. Mark Hoppus),Love Sux,album,2022-03-21 19:09:51+00:00,All I Wanted (feat. Mark Hoppus),Love Sux,album,0,1,1,0
DJ Tao,5CA5IqbsFr4hpNLdjgO0BU,2022-03-18 11:55:24+00:00,CAZZU | DJ TAO Turreo Sessions #9,CAZZU | DJ TAO Turreo Sessions #9,single,2022-03-18 11:55:24+00:00,CAZZU | DJ TAO Turreo Sessions #9,CAZZU | DJ TAO Turreo Sessions #9,single,0,1,1,0
Dreamer Boy,1UJKiAI4Evnhh1ExDse25D,2021-10-22 11:45:54+00:00,ARE YOU LETTING GO? (feat. BENEE),ARE YOU LETTING GO? (feat. BENEE),single,2022-03-18 04:04:16+00:00,OVER EVERYTHING,OVER EVERYTHING,single,2,0,2,0
Joyce Wrice,24Cf1irKt7kcewb9OOkPum,2020-11-26 17:32:43+00:00,That's On You (Japanese Remix),That's On You (Japanese Remix),single,2022-03-18 04:03:55+00:00,Iced Tea,Iced Tea,single,2,0,2,0
KennyHoopla,5ObBtv5VunwwhQaXXnUrsM,2020-05-15 21:40:35+00:00,how will i rest in peace if i'm buried by a highway?//,how will i rest in peace if i'm buried by a highway?//,single,2022-03-18 04:03:46+00:00,DIRTY WHITE VANS//,DIRTY WHITE VANS//,single,5,2,7,0
Zoe Wees,03d2mJXSMtuPI0nIvLnhoS,2021-09-24 04:00:43+00:00,That’s How It Goes (feat. 6LACK),That’s How It Goes (feat. 6LACK),single,2022-03-18 04:03:36+00:00,Lonely,Lonely,single,2,0,2,0
Anuel,00VnRQuhdfjkeaXeDu5dlW,2018-03-19 04:06:36+00:00,Ahora Dice - Real Hasta La Muerte Remix,Ahora Dice (Real Hasta La Muerte Remix),single,2022-03-14 19:35:11+00:00,Ahora Dice - Real Hasta La Muerte Remix,Ahora Dice (Real Hasta La Muerte Remix),single,0,2,2,0
Nirvana,6olE6TJLqED3rqDCT0FyPh,2020-05-29 07:36:40+00:00,Heart-Shaped Box,In Utero (Deluxe Edition),album,2022-03-12 00:45:42+00:00,Dumb,In Utero,album,2,0,2,0
John Martin,2auikkNYqigWStoHWK1Grq,2020-05-19 17:05:05+00:00,Higher Ground (feat. John Martin),Higher Ground (feat. John Martin),single,2022-03-11 11:28:03+00:00,Won't Let You Go - Eleganto Remix,Won't Let You Go (Remix Contest Winners),single,0,5,5,0
Eleganto,0MMdZHo4Jeldyg5awD2w5V,2022-03-11 11:28:03+00:00,Won't Let You Go - Eleganto Remix,Won't Let You Go (Remix Contest Winners),single,2022-03-11 11:28:03+00:00,Won't Let You Go - Eleganto Remix,Won't Let You Go (Remix Contest Winners),single,0,1,1,0
Suigeneris,4Y9WLkcmY5hFef5bFV8gNf,2020-03-06 03:49:49+00:00,Faithful,Faithful,single,2022-03-11 05:15:25+00:00,skinny jeans & rick owens,skinny jeans & rick owens,single,22,1,23,0
Rachel Chinouriri,4wrzxtBZw20ufDstKyTnnP,2022-03-11 05:06:32+00:00,All I Ever Asked,All I Ever Asked,single,2022-03-11 05:06:32+00:00,All I Ever Asked,All I Ever Asked,single,1,0,1,0
Terry Presume,4JLuMu6NZUAU8gYhrzvOdX,2022-03-11 05:06:29+00:00,Don't Like U,Don't Like U,single,2022-03-11 05:06:29+00:00,Don't Like U,Don't Like U,single,1,0,1,0
Ashanti,5rkVyNGXEgeUqKkB5ccK83,2019-08-01 21:27:09+00:00,Start This Shit Off Right (feat. Ashanti & Mack Maine),Tha Carter V,album,2022-03-11 05:02:15+00:00,Baby,Baby,single,0,5,5,0
Piso 21,4bw2Am3p9ji3mYsXNXtQcd,2019-08-21 22:04:21+00:00,Te Amo (feat. Paulo Londra),Ubuntu,album,2022-03-11 05:00:55+00:00,Mató Mi Corazón - Parte II,Mató Mi Corazón (Parte II),single,5,1,6,0
Marc Seguí,5FQ8tBUtIamA2hRtatrYUF,2022-03-11 05:00:55+00:00,Mató Mi Corazón - Parte II,Mató Mi Corazón (Parte II),single,2022-03-11 05:00:55+00:00,Mató Mi Corazón - Parte II,Mató Mi Corazón (Parte II),single,0,1,1,0
Eli Derby,6Zyna13TkHdrEc4NFljS9u,2022-03-10 05:17:51+00:00,Lately (with 6LACK),Lately (with 6LACK),single,2022-03-11 05:00:23+00:00,Lately (with 6LACK),Lately (with 6LACK),single,2,0,2,0
B-Lovee,7hf5PZjVOqTQ2id3PF7I5Y,2022-03-04 06:07:42+00:00,Hit Different,Hit Different,single,2022-03-11 05:00:14+00:00,Boom Boom (feat. A Boogie Wit da Hoodie),Boom Boom (feat. A Boogie Wit da Hoodie),single,1,2,3,0
Totoy El Frio,5IYRfypwG9BDDh5ZRPI80z,2020-10-16 04:02:55+00:00,Sigue Sola (feat. Jerry Di & Beéle),Sigue Sola (feat. Jerry Di & Beéle),single,2022-03-08 02:52:44+00:00,Estrella,Unisex,album,0,4,4,0
Revol,2wYOpkTJZGByNEOjEnSmoW,2021-01-15 05:51:40+00:00,Fantasia Sexual,Fantasia Sexual,single,2022-03-08 02:47:38+00:00,Whattsup,Whattsup,single,1,1,2,0
re6ce,4ULUpM5hJYKWhWdIViYrGK,2022-03-05 22:09:29+00:00,collision course,collision course,single,2022-03-05 22:09:29+00:00,collision course,collision course,single,1,0,1,0
CLAY,20aPu5vizjmoX2A7f7AOWL,2022-03-05 22:09:19+00:00,WTSGD (with Alessia Cara),WTSGD (with Alessia Cara),single,2022-03-05 22:09:19+00:00,WTSGD (with Alessia Cara),WTSGD (with Alessia Cara),single,1,0,1,0
Alessia Cara,2wUjUUtkb5lvLKcGKsKqsR,2017-05-05 02:38:20+00:00,Stay,Stay,single,2022-03-05 22:09:19+00:00,WTSGD (with Alessia Cara),WTSGD (with Alessia Cara),single,3,9,12,0
BETWEEN FRIENDS,2HkSsS8O2U2gPhnCGVN5vn,2022-03-05 22:08:55+00:00,more,more,single,2022-03-05 22:08:55+00:00,more,more,single,1,0,1,0
Bebe Rexha,64M6ah0SkkRsnPGtGiRAbb,2016-11-08 01:57:17+00:00,I Got You,I Got You,single,2022-03-05 20:49:30+00:00,Die For a Man (feat. Lil Uzi Vert),Die For a Man (feat. Lil Uzi Vert),single,7,4,11,0
King Von,6QtgPSJPSzcnn7dPZ4VINp,2020-08-06 02:53:33+00:00,All These Niggas (feat. Lil Durk),All These Niggas (feat. Lil Durk),single,2022-03-05 20:07:55+00:00,Chase The Bag,What It Means To Be King,album,19,9,28,0
PVRIS,6oFs3qk4VepIVFdoD4jmsy,2022-03-05 07:17:06+00:00,in these walls (my house) (feat. PVRIS),lockdown sessions,single,2022-03-05 07:17:06+00:00,in these walls (my house) (feat. PVRIS),lockdown sessions,single,0,1,1,0
Aitana,7eLcDZDYHXZCebtQmVFL25,2019-05-09 03:29:52+00:00,Presiento,Presiento,single,2022-03-04 17:45:41+00:00,Presiento,Balas Perdidas (Edición Especial),album,3,3,6,0
DaBaby,4r63FhuTkUYltbVAg5TQnk,2019-06-02 19:23:46+00:00,Dispatch (feat. DaBaby),Sli'merre,album,2022-03-04 15:37:01+00:00,Turbo,BETTER THAN YOU,album,34,28,62,0
Wallows,0NIPkIjTV8mB795yEIiPYL,2021-08-31 17:27:00+00:00,Are You Bored Yet? (feat. Clairo),Nothing Happens,album,2022-03-04 12:05:01+00:00,At the End of the Day,At the End of the Day,single,3,0,3,0
Yung Bae,30FDJPN3RtwJZ20g5YGCRX,2022-03-04 12:04:56+00:00,"L.O.V.E. (feat. EARTHGANG, Jon Batiste & Sherwyn)","L.O.V.E. (feat. EARTHGANG, Jon Batiste & Sherwyn)",single,2022-03-04 12:04:56+00:00,"L.O.V.E. (feat. EARTHGANG, Jon Batiste & Sherwyn)","L.O.V.E. (feat. EARTHGANG, Jon Batiste & Sherwyn)",single,1,0,1,0
Sherwyn,4cxJUMXdHetYoijH951DRV,2022-03-04 12:04:56+00:00,"L.O.V.E. (feat. EARTHGANG, Jon Batiste & Sherwyn)","L.O.V.E. (feat. EARTHGANG, Jon Batiste & Sherwyn)",single,2022-03-04 12:04:56+00:00,"L.O.V.E. (feat. EARTHGANG, Jon Batiste & Sherwyn)","L.O.V.E. (feat. EARTHGANG, Jon Batiste & Sherwyn)",single,0,1,1,0
Luna Li,4ZAk3yVJdtf1CFnTiG08U3,2022-02-04 19:15:28+00:00,Silver Into Rain,Silver Into Rain,single,2022-03-04 12:04:54+00:00,What You're Thinking,Duality,album,2,0,2,0
G-Eazy,02kJSzxNuaWGqwubyUba0Z,2019-01-12 22:40:17+00:00,For You (feat. Tory Lanez & G-Eazy),Love Is Hell,album,2022-03-04 06:18:19+00:00,Find That Girl,World of Trouble,album,31,10,41,0
Kossisko,3TmVOBZL0RYrAAF3f2QSGq,2022-03-04 06:18:19+00:00,Find That Girl,World of Trouble,album,2022-03-04 06:18:19+00:00,Find That Girl,World of Trouble,album,0,1,1,0
Shaun Ross,6GaWtlUT3oavD9SEzhZrA1,2022-03-04 06:18:17+00:00,Power Power (feat. Shaun Ross),Power Power (feat. Shaun Ross),single,2022-03-04 06:18:17+00:00,Power Power (feat. Shaun Ross),Power Power (feat. Shaun Ross),single,0,1,1,0
Zendaya,6sCbFbEjbYepqswM1vWjjs,2022-03-04 06:10:48+00:00,"Elliot's Song - From ""Euphoria"" An HBO Original Series","Elliot's Song (From ""Euphoria"" An HBO Original Series)",single,2022-03-04 06:11:01+00:00,I’m Tired (with Zendaya) - Bonus Track,I’m Tired (with Zendaya) - Bonus Track,single,0,2,2,0
YNW BSlime,2KCRLxlHd2OgZG6YAOAcSu,2020-10-09 04:01:45+00:00,One Step (feat. YNW Melly),One Step (feat. YNW Melly),single,2022-03-04 06:10:19+00:00,The Mob,The Mob,single,2,0,2,0
YNW Melly,1cNDP5yjU5vjeR8qMf4grg,2019-06-07 12:39:36+00:00,Pull Up (feat. Lil Uzi Vert & YNW Melly),Pull Up (feat. Lil Uzi Vert & YNW Melly),single,2022-03-04 06:10:19+00:00,The Mob,The Mob,single,40,9,49,0
YNW Bortlen,5jx69PEwHeFm5MDZ695RIV,2022-03-04 06:10:19+00:00,The Mob,The Mob,single,2022-03-04 06:10:19+00:00,The Mob,The Mob,single,0,1,1,0
Residente,5GcWBUX00IPuWVGMIRK1sS,2022-03-04 06:10:08+00:00,"Residente: Bzrp Music Sessions, Vol. 49","Residente: Bzrp Music Sessions, Vol. 49",single,2022-03-04 06:10:08+00:00,"Residente: Bzrp Music Sessions, Vol. 49","Residente: Bzrp Music Sessions, Vol. 49",single,0,1,1,0
Caleb Calloway,11usEAQkFE6UJwsyAKkchi,2020-07-10 04:47:10+00:00,Deportivo,Deportivo,single,2022-02-27 19:28:35+00:00,Tengo un Pal,VICE VERSA,album,0,3,3,0
Mr. Naisgai,37BIBvfliXJpSgn10yQUJM,2020-11-16 05:07:01+00:00,No Te Creo,Afrodisíaco,album,2022-02-27 19:05:30+00:00,2/Catorce,VICE VERSA,album,0,3,3,0
CeeLo Green,5nLYd9ST4Cnwy6NHaCxbj8,2019-08-01 21:24:37+00:00,North Star (feat. CeeLo Green),FATHER OF 4,album,2022-02-27 17:47:20+00:00,POWER (with CeeLo Green & Nick Cannon),GHETTO GODS,album,1,3,4,0
Nick Cannon,480i0t8YiGc2aoOR6BeLAb,2022-02-27 17:47:20+00:00,POWER (with CeeLo Green & Nick Cannon),GHETTO GODS,album,2022-02-27 17:47:20+00:00,POWER (with CeeLo Green & Nick Cannon),GHETTO GODS,album,0,1,1,0
Clever,5yy76ufVriyvidNSvXlRU1,2019-10-22 03:45:36+00:00,All In (feat. Polo G & G Herbo),All In (feat. Polo G & G Herbo),single,2022-02-27 17:28:48+00:00,Ring Ring (with Rvssian feat. Clever),Death Race For Love (Bonus Track Version),album,15,8,23,0
GARZI,0w6YVGViQHcgC3eyc8LxUv,2020-07-29 19:21:32+00:00,Higher,Higher,single,2022-02-26 05:31:46+00:00,MESS (with Kellin Quinn of Sleeping With Sirens),MESS (with Kellin Quinn of Sleeping With Sirens),single,19,1,20,0
Sleeping With Sirens,3N8Hy6xQnQv1F1XCiyGQqA,2022-02-26 05:31:46+00:00,MESS (with Kellin Quinn of Sleeping With Sirens),MESS (with Kellin Quinn of Sleeping With Sirens),single,2022-02-26 05:31:46+00:00,MESS (with Kellin Quinn of Sleeping With Sirens),MESS (with Kellin Quinn of Sleeping With Sirens),single,0,1,1,0
NMIXX,28ot3wh4oNmoFOdVajibBl,2022-02-26 03:58:32+00:00,O.O,AD MARE,single,2022-02-26 03:58:32+00:00,O.O,AD MARE,single,1,0,1,0
Wallo267,4CDHyGh4gnewa65FSdKNG1,2022-02-26 03:58:27+00:00,Stressed,Stressed,single,2022-02-26 03:58:27+00:00,Stressed,Stressed,single,0,1,1,0
Weston Estate,18CPEToK1OfjJ5B5vDBDKa,2021-08-13 04:42:41+00:00,Outside,Outside,single,2022-02-26 03:58:13+00:00,Sixty,Maggie Valley,single,2,0,2,0
Jazz Cartier,0sc5zYshOdiFD4ayqMrJbJ,2022-02-26 03:58:07+00:00,Trust,The Fleur Print (Vol. 2),album,2022-02-26 03:58:07+00:00,Trust,The Fleur Print (Vol. 2),album,1,0,1,0
vf7,6bxjoq64Y0HTfMc4GIbpyJ,2022-02-26 03:58:02+00:00,Baila Bien,15,album,2022-02-26 03:58:02+00:00,Baila Bien,15,album,1,0,1,0
Nio Garcia,5hdhHgpxyniooUiQVaPxQ0,2019-08-01 21:24:30+00:00,El Chisme,El Chisme,single,2022-02-26 03:58:02+00:00,Baila Bien,15,album,22,14,36,0
Tiana Major9,1Naqgo0HMRoumRP0e2MXD9,2020-08-07 04:13:38+00:00,Same Space?,At Sixes And Sevens,single,2022-02-26 03:57:24+00:00,2 seater (feat. Smino),2 seater (feat. Smino),single,2,0,2,0
Q-Tip,3ZotbHeyVQKxQCPDJuQ4SU,2021-04-22 04:06:39+00:00,More Life (feat. Q Tip),Just Until....,single,2022-02-26 03:57:10+00:00,Why We Speak [Feat. Q-Tip & Esperanza Spalding],Why We Speak [Feat. Q-Tip & Esperanza Spalding],single,0,2,2,0
Esperanza Spalding,5bepW5vcdRzheNc0F8lHJ5,2022-02-26 03:57:10+00:00,Why We Speak [Feat. Q-Tip & Esperanza Spalding],Why We Speak [Feat. Q-Tip & Esperanza Spalding],single,2022-02-26 03:57:10+00:00,Why We Speak [Feat. Q-Tip & Esperanza Spalding],Why We Speak [Feat. Q-Tip & Esperanza Spalding],single,0,1,1,0
mehro,1ZwhhTSUPr7EBZHd1GjOT7,2021-11-12 05:21:58+00:00,green felt,green felt,single,2022-02-26 03:57:00+00:00,like you’re god,Dark Corners,single,2,0,2,0
Kidd G,5edcHuf8pWH3I00WTorajM,2021-06-25 17:05:24+00:00,Teenage Dream 2 (with Lil Uzi Vert),Teenage Dream 2 (with Lil Uzi Vert),single,2022-02-26 03:56:53+00:00,Colorado Boulder,Colorado Boulder,single,3,1,4,0
22Gz,4JhbRL6zaItAyzqx4gHTqz,2022-02-04 19:16:09+00:00,Said It’s Lit,Said It’s Lit,single,2022-02-26 03:56:12+00:00,Possessed,The Blixky Tape 2 (Deluxe),album,2,0,2,0
Joshua Bassett,4VdV2qRAYBLINR6uU72V1J,2021-01-15 05:52:33+00:00,Lie Lie Lie,Lie Lie Lie,single,2022-02-26 03:55:42+00:00,Doppelgänger,Doppelgänger,single,3,0,3,0
Ben Kessler,6Lx82nbEVfeTfEa4yT01Jo,2022-02-26 03:55:21+00:00,reckless driving (feat. Ben Kessler),reckless driving (feat. Ben Kessler),single,2022-02-26 03:55:21+00:00,reckless driving (feat. Ben Kessler),reckless driving (feat. Ben Kessler),single,0,1,1,0
Gordi,6UBMFaCTZnL1Hr1nTOEblM,2022-02-26 03:54:43+00:00,Wait - from ‘Three Months’,Wait (from ‘Three Months’),single,2022-02-26 03:54:43+00:00,Wait - from ‘Three Months’,Wait (from ‘Three Months’),single,0,1,1,0
Coldplay,4gzpq5DPGxSnKTe4SA8HAU,2019-08-01 21:25:48+00:00,Viva La Vida,Mood Booster,compilation,2022-02-26 03:50:54+00:00,Day ‘n’ Nite - Spotify Singles,Spotify Singles,single,7,0,7,0
Musiq Soulchild,3UVRliakQfa1pMWIsNuiZ8,2019-08-01 21:27:33+00:00,Footsteps (feat. Musiq Soulchild),While We Wait,album,2022-02-25 14:11:09+00:00,AMEN (with Musiq Soulchild),GHETTO GODS,album,0,3,3,0
Kemba,0oZASNXz7lmZGoXFh8GnZM,2019-12-06 05:34:17+00:00,Daemons (feat. Joey Bada$$),Bad Vibes Forever,album,2022-02-25 05:00:29+00:00,Legal Sins,Legal Sins,single,1,1,2,0
sadeyes,5fj4oi7qHDoklvnnYmSBl0,2020-04-11 04:15:36+00:00,you deserve better,you deserve better,single,2022-02-24 04:04:44+00:00,hi hru,monarch,album,16,0,16,0
guccihighwaters,7EIOmfcBRSR63ZaUptkD09,2020-02-05 10:18:48+00:00,too much,not around here,single,2022-02-24 03:45:35+00:00,fast life,monarch,album,23,2,25,0
Lil Xtra,7j8XINhxkD7WS4efrPxbhm,2022-02-24 03:45:32+00:00,i'm not okay,monarch,album,2022-02-24 03:45:32+00:00,i'm not okay,monarch,album,0,1,1,0
Zecca,2FmE1yzXXBWKlRiOl0AqD8,2020-07-14 02:39:37+00:00,Oscuro P1,Oscuro P1,single,2022-02-22 22:38:51+00:00,DELITO_V13.wav,DELITO_V13.wav,single,0,4,4,0
Yung Kayo,7J0hrNYCO5DgAx0XaRJqkh,2020-10-07 16:34:27+00:00,U N I,U N I,single,2022-02-20 01:05:00+00:00,Narcoticz (feat. Yung Kayo),2 Alivë,album,4,4,8,0
Mimi Webb,3GxKJzJK4LpsYGXQrw77wz,2020-08-07 04:14:21+00:00,I'll Break My Heart Again,I'll Break My Heart Again,single,2022-02-19 01:51:14+00:00,House On Fire,House On Fire,single,2,0,2,0
iayze,00msLVGU9crX0EC5McCiCa,2022-02-18 05:07:14+00:00,556 (Green Tip),556 (Green Tip),single,2022-02-18 05:07:14+00:00,556 (Green Tip),556 (Green Tip),single,1,0,1,0
Ryan Hall,22bvUzi8MgkpSKBWGB2vTJ,2022-02-18 05:07:00+00:00,FRIENDS,FRIENDS,single,2022-02-18 05:07:00+00:00,FRIENDS,FRIENDS,single,1,0,1,0
phem,0MGJHTThvyAyqKuEAgPqDr,2019-08-01 21:25:00+00:00,5:3666,Hotel Diablo,album,2022-02-18 05:06:50+00:00,FUCKED OVER (feat. phem and Tosh the Drummer),FUCKED OVER (feat. phem and Tosh the Drummer),single,2,6,8,0
Tosh the Drummer,4UtLdjkUvG4AROVpFXaIhq,2022-02-18 05:06:50+00:00,FUCKED OVER (feat. phem and Tosh the Drummer),FUCKED OVER (feat. phem and Tosh the Drummer),single,2022-02-18 05:06:50+00:00,FUCKED OVER (feat. phem and Tosh the Drummer),FUCKED OVER (feat. phem and Tosh the Drummer),single,0,1,1,0
Sara Kays,7Lk9V7E1u5gqSHmtcKlOqH,2020-08-07 04:11:15+00:00,Chosen Last,Chosen Last,single,2022-02-18 05:02:50+00:00,When You Look at Me,When You Look At Me,single,6,1,7,0
Jay Som,1wmiQ6ytATiGnJs6uFluKO,2022-02-18 05:02:26+00:00,Trouble - from ‘Three Months’,Trouble (from ‘Three Months’),single,2022-02-18 05:02:26+00:00,Trouble - from ‘Three Months’,Trouble (from ‘Three Months’),single,0,1,1,0
Vita Flare,5o0pnQCThMhGksZ48q293J,2022-02-18 05:01:49+00:00,Elevate,Elevate,single,2022-02-18 05:01:49+00:00,Elevate,Elevate,single,1,0,1,0
Bairi,2zCT4CABRrHliK2UmzjIUP,2022-02-18 05:01:33+00:00,Neck Up (feat. Bairi & Dende),Everyday the 14TH,single,2022-02-18 05:01:33+00:00,Neck Up (feat. Bairi & Dende),Everyday the 14TH,single,0,1,1,0
Nafe Smallz,3dKjmeRZcSUw617CoMzEA0,2022-02-18 05:00:50+00:00,Elegance (feat. Lil Tjay),Elegance (feat. Lil Tjay),single,2022-02-18 05:00:50+00:00,Elegance (feat. Lil Tjay),Elegance (feat. Lil Tjay),single,1,0,1,0
KYLE,4qBgvVog0wzW75IQ48mU7v,2017-06-04 02:02:14+00:00,iSpy (feat. Lil Yachty),iSpy (feat. Lil Yachty),single,2022-02-17 16:40:49+00:00,Eternity,It's Not So Bad,album,2,2,4,0
Craig Xen,5bCwYvvFvWOEXtO9W7p0Iv,2019-06-13 13:57:58+00:00,RUN IT BACK!,RUN IT BACK!,single,2022-02-12 21:17:39+00:00,Death Note,FIRE HAZARD,album,10,15,25,0
Tion Wayne,7b79bQFziJFedJb75k6hFt,2020-03-20 04:00:42+00:00,4AM,4AM,single,2022-02-12 03:19:29+00:00,"Body (Remix) [feat. ArrDee, E1 (3x3), ZT (3x3), Bugzy Malone, Buni, Fivio Foreign & Darkoo]",Green With Envy,album,4,5,9,0
Russ Millions,3FoFW2AoUGRHBacC6i4x4p,2021-05-28 03:55:19+00:00,"Body (Remix) [feat. ArrDee, E1 (3x3), ZT (3x3), Bugzy Malone, Buni, Fivio Foreign & Darkoo]","Body (Remix) [feat. ArrDee, E1 (3x3), ZT (3x3), Bugzy Malone, Buni, Fivio Foreign & Darkoo]",single,2022-02-12 03:19:29+00:00,"Body (Remix) [feat. ArrDee, E1 (3x3), ZT (3x3), Bugzy Malone, Buni, Fivio Foreign & Darkoo]",Green With Envy,album,0,2,2,0
E1 (3x3),63ebc5zUpJ36aoTDQJHa9B,2021-05-28 03:55:19+00:00,"Body (Remix) [feat. ArrDee, E1 (3x3), ZT (3x3), Bugzy Malone, Buni, Fivio Foreign & Darkoo]","Body (Remix) [feat. ArrDee, E1 (3x3), ZT (3x3), Bugzy Malone, Buni, Fivio Foreign & Darkoo]",single,2022-02-12 03:19:29+00:00,"Body (Remix) [feat. ArrDee, E1 (3x3), ZT (3x3), Bugzy Malone, Buni, Fivio Foreign & Darkoo]",Green With Envy,album,0,2,2,0
ZT (3x3),2uIRmVaCVpHQjaVgph5clS,2021-05-28 03:55:19+00:00,"Body (Remix) [feat. ArrDee, E1 (3x3), ZT (3x3), Bugzy Malone, Buni, Fivio Foreign & Darkoo]","Body (Remix) [feat. ArrDee, E1 (3x3), ZT (3x3), Bugzy Malone, Buni, Fivio Foreign & Darkoo]",single,2022-02-12 03:19:29+00:00,"Body (Remix) [feat. ArrDee, E1 (3x3), ZT (3x3), Bugzy Malone, Buni, Fivio Foreign & Darkoo]",Green With Envy,album,0,2,2,0
