artist_name,artist_id,first_added,first_song,first_album,first_album_type,last_added,last_song,last_album,last_album_type,main_songs_count,featured_songs_count,liked_songs_count,genres_count
IDK,6aiFCgyKNwF9Rv5TOxnE8E,2019-08-01 21:24:47+00:00,I Don't Sell Dope,GNAR Lif3,album,2023-04-21 04:07:38+00:00,Mr. Police,Mr. Police,single,33,4,37,0
Mike Dimes,6rIaHuCIUu32uj2CjlEBN3,2022-02-18 05:02:41+00:00,HOME,HOME,single,2023-04-21 04:07:19+00:00,OFF THE PORCH (feat. BigXthaPlug & Maxo Kream),OFF THE PORCH (feat. BigXthaPlug & Maxo Kream),single,8,1,9,0
BigXthaPlug,6qxpnaukVayrQn6ViNvu9I,2023-04-21 04:07:19+00:00,OFF THE PORCH (feat. BigXthaPlug & Maxo Kream),OFF THE PORCH (feat. BigXthaPlug & Maxo Kream),single,2023-04-21 04:07:19+00:00,OFF THE PORCH (feat. BigXthaPlug & Maxo Kream),OFF THE PORCH (feat. BigXthaPlug & Maxo Kream),single,0,1,1,0
Maxo Kream,6xS5PpBWaVYraexEkEjjXv,2019-08-01 21:26:28+00:00,"Oh Wow...Swerve (with J. Cole feat. Zoink Gang, KEY! & Maxo Kream)",Revenge Of The Dreamers III,album,2023-04-21 04:07:19+00:00,OFF THE PORCH (feat. BigXthaPlug & Maxo Kream),OFF THE PORCH (feat. BigXthaPlug & Maxo Kream),single,4,3,7,0
Mac DeMarco,3Sz7ZnJQBIHsXLUSo0OQtM,2021-12-10 14:45:13+00:00,MENTHOL*,MENTHOL*,single,2023-04-21 04:06:01+00:00,20200817 Proud True Toyota,One Wayne G,album,1,1,2,0
Baby Rose,6Z4JcgqrqgysyHIPRtDIHo,2019-08-01 21:26:28+00:00,Self Love (with Ari Lennox & Bas feat. Baby Rose),Revenge Of The Dreamers III,album,2023-04-21 04:06:00+00:00,UNDERSTAND (feat. Baby Rose),UNDERSTAND,single,0,3,3,0
Agust D,5RmQ8k4l3HZ8JoPb4mNsML,2021-12-25 07:02:05+00:00,Moonlight,D-2,album,2023-04-21 04:05:56+00:00,Haegeum,D-DAY,album,10,0,10,0
Jasiel Nuñez,0T8Ix53aIN4F7aEKj4EnKy,2023-04-21 04:05:49+00:00,Rosa Pastel,Rosa Pastel,single,2023-04-21 04:05:49+00:00,Rosa Pastel,Rosa Pastel,single,0,1,1,0
Bree Runway,58hqTaCiqGrMsNmmm3qL7w,2023-04-21 04:05:47+00:00,Be The One (with Khalid),Be The One (with Khalid),single,2023-04-21 04:05:47+00:00,Be The One (with Khalid),Be The One (with Khalid),single,1,0,1,0
Sean Paul,3Isy6kedDrgPYoTS1dazA9,2017-04-07 04:06:54+00:00,No Lie,No Lie,single,2023-04-21 04:05:34+00:00,Niña Bonita,Niña Bonita,single,2,7,9,0
Christine and the Queens,04vj3iPUiVh5melWr0w3xT,2019-09-13 19:11:17+00:00,Gone,Charli,album,2023-04-21 04:05:20+00:00,True love (feat. 070 Shake),True love (feat. 070 Shake),single,1,4,5,0
Grupo Frontera,6XkjpgcEsYab502Vr1bBeW,2023-04-21 04:04:13+00:00,un x100to,un x100to,single,2023-04-21 04:04:13+00:00,un x100to,un x100to,single,1,0,1,0
Post Malone,246dkjvS1zLTtiykXe5h60,2019-02-23 22:26:45+00:00,Sunflower - Spider-Man: Into the Spider-Verse,Spider-Man: Into the Spider-Verse (Deluxe Edition / Soundtrack From & Inspired By The Motion Picture),compilation,2023-04-21 04:03:58+00:00,What You Say (feat. Post Malone & The Kid LAROI),Don't Try This At Home,album,77,16,93,0
Trevor Daniel,7uaIm6Pw7xplS8Dy06V6pT,2019-08-09 02:10:23+00:00,Mess,Homesick,single,2023-04-21 04:01:00+00:00,Exhausted,Exhausted,single,43,8,51,0
Domo Genesis,6vHBuUxrcpn1do5UaEJ7g6,2021-01-22 04:03:10+00:00,20 Wave Caps (feat. Domo Genesis),Doris,album,2023-04-21 04:00:50+00:00,Prophecy,No Idols,album,2,2,4,0
Saba,7Hjbimq43OgxaBRpFXic4x,2019-08-01 21:23:25+00:00,Everybody's Something,Acid Rap,album,2023-04-21 03:08:22+00:00,Back In Office,Back In Office,single,32,12,44,0
No ID,4TNLCgKNImRbj2bb7g52wH,2023-04-21 03:08:22+00:00,Back In Office,Back In Office,single,2023-04-21 03:08:22+00:00,Back In Office,Back In Office,single,0,1,1,0
Caloncho,2z3KntXLyEF5Lvz1kpdBoA,2023-04-21 03:08:06+00:00,Medusa,Medusa,single,2023-04-21 03:08:06+00:00,Medusa,Medusa,single,1,0,1,0
Cuco,2Tglaf8nvDzwSQnpSrjLHP,2019-10-06 16:09:08+00:00,Bossa No Sé (feat. Jean Carter),Para Mi,album,2023-04-21 03:08:06+00:00,Medusa,Medusa,single,8,2,10,0
aldn,2GUw9Wzha61PkZoRVv1PDD,2021-04-23 04:08:02+00:00,what was the last thing u said,what was the last thing u said,single,2023-04-21 03:07:56+00:00,pressure (with chloe moriondo),pressure (with chloe moriondo),single,14,2,16,0
chloe moriondo,3P4vW5tzQvmuoNaFQqzy9q,2021-11-19 05:32:10+00:00,Dizzy (feat. Thomas Headon and Alfie Templeman),Dizzy (feat. Thomas Headon and Alfie Templeman),single,2023-04-21 03:07:56+00:00,pressure (with chloe moriondo),pressure (with chloe moriondo),single,1,1,2,0
Lola Indigo,3bvfu2KAve4lPHrhEFDZna,2020-04-17 05:55:17+00:00,4 besos,4 besos,single,2023-04-21 03:07:42+00:00,DISCOTEKA,EL DRAGÓN,album,7,2,9,0
Foudeqush,0XFgM33h3Ls5tj1M9IKUWd,2022-11-12 20:45:53+00:00,Con La Brisa,Black Panther: Wakanda Forever - Music From and Inspired By,album,2023-04-18 15:04:47+00:00,Con La Brisa,Black Panther: Wakanda Forever - Music From and Inspired By,compilation,2,1,3,0
Ludwig Göransson,24eDfi2MSYo3A87hCcgpIL,2022-11-12 20:45:53+00:00,Con La Brisa,Black Panther: Wakanda Forever - Music From and Inspired By,album,2023-04-18 15:04:47+00:00,Con La Brisa,Black Panther: Wakanda Forever - Music From and Inspired By,compilation,0,2,2,0
XXXTENTACION,15UsOTVnJzReFVN1VCnxy4,2018-03-14 14:48:01+00:00,changes,changes,single,2023-04-12 04:00:05+00:00,KILL ME (Pain From The Jail Phone),LOOK AT ME: THE ALBUM,album,133,23,156,0
JPEGMAFIA,6yJ6QQ3Y5l0s0tn7b0arrO,2020-07-31 04:08:43+00:00,living single,living single,single,2023-04-10 04:49:35+00:00,black enuff,black enuff,single,3,3,6,0
Mahalia,16rCzZOMQX7P8Kmn5YKexI,2019-11-01 04:08:17+00:00,What You Did (feat. Ella Mai),LOVE AND COMPROMISE,album,2023-04-10 04:48:21+00:00,Terms and Conditions,Terms and Conditions,single,14,3,17,0
Mustafa,1zkKkDDra0jlsiJYz57P3P,2021-05-28 04:13:40+00:00,The Hearse,The Hearse,single,2023-04-10 03:50:32+00:00,Toronto 2014 (with Mustafa),NEVER ENOUGH,album,1,2,3,0
Callejero Fino,6GRwwWAtmusrgAL5JF9Dfr,2023-04-04 16:01:34+00:00,En La Intimidad | CROSSOVER #1,En La Intimidad | CROSSOVER #1,single,2023-04-04 16:01:34+00:00,En La Intimidad | CROSSOVER #1,En La Intimidad | CROSSOVER #1,single,0,1,1,0
Hozwal,1lgtR3WlcFxEy6yPoOh0J2,2021-01-08 05:02:43+00:00,El Si Tu No,El Si Tu No,single,2023-04-04 15:47:14+00:00,Big Booty,Big Booty,single,2,1,3,0
Lil Geniuz,7nuTWfojdN0o8d7NGDo71U,2020-03-27 04:02:36+00:00,Anda Deja,Anda Deja,single,2023-04-04 15:47:14+00:00,Big Booty,Big Booty,single,0,2,2,0
Alejo,50sIhX3HytFEwQXZJLUZQE,2022-04-12 16:10:32+00:00,Un Viaje,Un Viaje,single,2023-04-04 15:03:01+00:00,Un Poquito,Un Poquito,single,1,2,3,0
Sonder,2ICR2m4hOBPhaYiZB3rnLW,2021-04-09 04:16:10+00:00,Nobody But You,Nobody But You,single,2023-04-04 03:11:22+00:00,Break You Off,Too Late To Die Young,single,9,0,9,0
Morray,44vREmJC0OlVZjZaGLqVEd,2021-05-14 04:46:23+00:00,m y . l i f e (with 21 Savage & Morray),The Off-Season,album,2023-03-31 04:03:03+00:00,High Price (with Lil Tjay),High Price (with Lil Tjay),single,9,2,11,0
"nothing,nowhere.",7FngGIEGgN3Iwauw1MvO4P,2019-10-09 02:04:26+00:00,DESTRUCTION,BLOODLUST,single,2023-03-31 04:02:47+00:00,VEN0M (feat. UNDEROATH),VOID ETERNAL,album,50,3,53,0
Underoath,3GzWhE2xadJiW8MqRKIVSK,2023-03-31 04:02:47+00:00,VEN0M (feat. UNDEROATH),VOID ETERNAL,album,2023-03-31 04:02:47+00:00,VEN0M (feat. UNDEROATH),VOID ETERNAL,album,0,1,1,0
Larry June,1grN0519h2zYqpRtYbDZAl,2022-12-09 09:01:56+00:00,Keep Calling,Keep Calling,single,2023-03-31 04:02:40+00:00,Summer Reign (feat. Ty Dolla $ign),The Great Escape,album,1,1,2,0
Ellie Goulding,0X2BH1fck6amBIoJhDVmmJ,2016-09-01 20:09:35+00:00,Something In The Way You Move,Delirium (Deluxe),album,2023-03-31 04:02:36+00:00,Cure For Love,Cure For Love,single,8,1,9,0
Melanie Martinez,63yrD80RY3RNEM2YDpUpO8,2019-08-01 21:24:10+00:00,Soap,Cry Baby (Deluxe Edition),album,2023-03-31 04:01:54+00:00,VOID,VOID,single,29,0,29,0
Alexander 23,6sFHvCyqklnJpXC9Nh1aag,2019-11-01 04:10:03+00:00,Lucky,Lucky,single,2023-03-31 04:01:13+00:00,I Wanna Live Forever,I Wanna Live Forever,single,14,3,17,0
Deante' Hitchcock,5REHfa3YDopGOzrxwTsPvH,2019-08-01 21:26:28+00:00,"PTSD (with Omen feat. Mereba, Deante' Hitchcock & St. Beauty)",Revenge Of The Dreamers III,album,2023-03-31 04:01:11+00:00,Magic Enterlewd,Magic Enterlewd,single,15,9,24,0
Nedarb,1VKWlHqcqwmU9CGKkJR09R,2019-09-09 01:54:44+00:00,beamer boy,beamer boy,single,2023-03-31 04:01:06+00:00,target on my head,target on my head,single,1,9,10,0
LiL Lotus,2RJWS2Lmkw2uExDmFMe1Ry,2020-04-24 05:15:10+00:00,Bodybag (Feat. cold hart),Bodybag,single,2023-03-31 04:01:06+00:00,target on my head,target on my head,single,14,6,20,0
Ciara,2NdeV5rLm47xAvogXrYhJX,2022-09-30 04:09:22+00:00,Better Thangs (with Summer Walker),Better Thangs,single,2023-03-30 12:00:14+00:00,Da Girls,Da Girls,single,3,0,3,0
Hit-Boy,6q3p11nP1p80Ey6LrOOSed,2020-09-07 22:28:27+00:00,Respect It (with Hit-Boy feat. Young Thug),Detroit 2,album,2023-03-30 04:20:04+00:00,The Tide,SURF OR DROWN,album,4,13,17,0
Wale,67nwj3Y5sZQLl72VNUHEYE,2020-05-06 07:01:37+00:00,Love... (Her Fault) [feat. Bryson Tiller],Wow... That's Crazy,album,2023-03-30 04:08:31+00:00,Stories In Motion (with Wale),Since I Have A Lover,album,7,6,13,0
QUIN,3sHS70DMNgPxRqx2fUNrRA,2019-02-15 20:37:57+00:00,MUSHROOM CHOCOLATE (with 6LACK),MUSHROOM CHOCOLATE (with 6LACK),single,2023-03-30 03:02:09+00:00,wunna dem (with QUIN),Since I Have A Lover,album,3,2,5,0
Amelia Moore,61shKG2hWuRTW2PEAPk7fo,2022-04-18 03:15:22+00:00,crybaby,crybaby,single,2023-03-29 14:56:30+00:00,FUMD,FUMD,single,2,0,2,0
FLO,0s4kXsjYeH0S1xRyVGN4NO,2022-12-16 14:59:15+00:00,Losing You,Losing You,single,2023-03-28 14:14:25+00:00,Fly Girl (feat. Missy Elliott),Fly Girl (feat. Missy Elliott),single,2,0,2,0
Chita,7ejyCwT1b7MIwHVCVO8HjX,2019-12-17 11:59:21+00:00,Nada Más Que Hablar,Encanto,album,2023-03-28 12:25:43+00:00,CAMA KING (feat. Chita),LA VIDA ES UNA,album,1,3,4,0
Rich The Kid,1pPmIToKXyGdsCF6LmqLmI,2019-03-29 23:19:32+00:00,Tic Toc (with Tory Lanez),Tic Toc (with Tory Lanez),single,2023-03-27 11:49:10+00:00,Peso a Peso,3MEN2 KBRN,album,30,18,48,0
sped up nightcore,0M2CO5ijP35MDhNwvpgxTV,2023-03-02 03:27:58+00:00,Watch This - ARIZONATEARS Pluggnb Remix,Watch This (ARIZONATEARS Pluggnb Remix),single,2023-03-26 20:11:28+00:00,just wanna rock - Sped Up Version,just wanna rock (Lil Uzi Vert) [Sped Up Version],single,1,1,2,0
Christian French,7naAJDAh7AZnf18YYfQruM,2020-03-06 05:11:32+00:00,crowded room,crowded room,single,2023-03-24 13:41:11+00:00,lonely,lonely,single,9,0,9,0
Lucky Daye,5Vuvs6Py2JRU7WiFDVsI7J,2020-04-03 17:15:07+00:00,Forfeit. (ft. Lucky Daye),KIKI,album,2023-03-24 13:40:33+00:00,Smoke (feat. Lucky Daye),Smoke (feat. Lucky Daye),single,12,13,25,0
Internet Money,6MPCFvOQv5cIGfw3jODMF0,2019-10-11 10:43:47+00:00,Somebody,Somebody,single,2023-03-24 13:40:28+00:00,I Remember (feat. Roddy Ricch & Kodak Black),I Remember (feat. Roddy Ricch & Kodak Black),single,54,8,62,0
50 Cent,3q7HBObVc0L8jNeTe5Gofh,2019-08-01 21:25:56+00:00,Remember The Name (feat. Eminem & 50 Cent),No.6 Collaborations Project,album,2023-03-17 23:23:54+00:00,Si Salimos,3MEN2 KBRN,album,1,6,7,0
SHB,4uiEeT7dw0guTJ5CPMsX83,2023-03-17 23:22:53+00:00,Betty,3MEN2 KBRN,album,2023-03-17 23:22:53+00:00,Betty,3MEN2 KBRN,album,0,1,1,0
Hydro,3pTZ5sCcE1o2O9sWn5yQMg,2023-03-17 23:22:53+00:00,Betty,3MEN2 KBRN,album,2023-03-17 23:22:53+00:00,Betty,3MEN2 KBRN,album,0,1,1,0
Jae Skeese,4DaFgJf7fynXYWpmyVnkAZ,2023-03-16 15:48:26+00:00,Le Chop,Pain Provided Profit,album,2023-03-16 15:48:26+00:00,Le Chop,Pain Provided Profit,album,0,1,1,0
Reggie Becton,6tDysK3IF96GLkAcaSzXfC,2023-03-16 15:44:11+00:00,Life,Life,single,2023-03-16 15:44:11+00:00,Life,Life,single,1,0,1,0
Bryce Vine,1ShZZUjkbXCjhwrb18BA8I,2020-04-21 05:17:02+00:00,La La Land (feat. YG),Carnival,album,2023-03-16 15:42:40+00:00,Nostalgia,Serotonin,single,12,2,14,0
VALORANT,3wrFoI9EVjWg6m8xXeWr5t,2023-03-14 15:16:34+00:00,>one - greater than one,>one (greater than one),single,2023-03-14 15:16:34+00:00,>one - greater than one,>one (greater than one),single,1,0,1,0
Brandi Carlile,2sG4zTOLvjKG1PSoOyf5Ej,2023-03-14 15:15:27+00:00,Thousand Miles (feat. Brandi Carlile),Endless Summer Vacation,album,2023-03-14 15:15:27+00:00,Thousand Miles (feat. Brandi Carlile),Endless Summer Vacation,album,0,1,1,0
TWICE,7n2Ycct7Beij7Dj7meI4X0,2021-11-12 05:22:21+00:00,SCIENTIST,Formula of Love: O+T=<3,album,2023-03-12 06:11:03+00:00,SET ME FREE (ENG),READY TO BE,album,2,0,2,0
Adi Oasis,5RRfTrwXUGYiBB0DMV4hyh,2023-03-09 13:48:50+00:00,Naked - Feat. Leven Kali,Naked (Feat. Leven Kali),single,2023-03-09 13:48:50+00:00,Naked - Feat. Leven Kali,Naked (Feat. Leven Kali),single,1,0,1,0
Leven Kali,5YZ5AExR68U3ZblH6HcO6B,2019-08-01 21:26:16+00:00,Flex,Playboi Carti,album,2023-03-09 13:48:50+00:00,Naked - Feat. Leven Kali,Naked (Feat. Leven Kali),single,12,4,16,0
Diego Torres,0LALueHEQunQ2d61fXGeZh,2023-03-07 18:46:14+00:00,Color Esperanza 2020,Color Esperanza 2020,single,2023-03-07 18:46:14+00:00,Color Esperanza 2020,Color Esperanza 2020,single,1,0,1,0
Pedro Capó,4QVBYiagIaa6ZGSPMbybpy,2019-08-01 21:23:53+00:00,Calma - Remix,Calma (Remix),single,2023-03-07 18:46:14+00:00,Color Esperanza 2020,Color Esperanza 2020,single,4,4,8,0
Manuel Turizo,0tmwSHipWxN12fsoLcFU3B,2019-04-10 17:38:40+00:00,Esclavo de Tus Besos,Esclavo de Tus Besos,single,2023-03-07 18:46:14+00:00,Color Esperanza 2020,Color Esperanza 2020,single,6,15,21,0
Leonel García,3t7UqWteBBmHXkcVhMSyay,2023-03-07 18:46:14+00:00,Color Esperanza 2020,Color Esperanza 2020,single,2023-03-07 18:46:14+00:00,Color Esperanza 2020,Color Esperanza 2020,single,0,1,1,0
Río Roma,2O3v9rCTzLhPFaGaAVgZLt,2023-03-07 18:46:14+00:00,Color Esperanza 2020,Color Esperanza 2020,single,2023-03-07 18:46:14+00:00,Color Esperanza 2020,Color Esperanza 2020,single,0,1,1,0
Lali,22P1OY4TRFRwhP0q29loQ8,2019-08-01 21:27:24+00:00,Lindo Pero Bruto,Valiente,album,2023-03-07 18:46:14+00:00,Color Esperanza 2020,Color Esperanza 2020,single,2,3,5,0
Camila,2gRP1Ezbtj3qrERnd0XasU,2023-03-07 18:46:14+00:00,Color Esperanza 2020,Color Esperanza 2020,single,2023-03-07 18:46:14+00:00,Color Esperanza 2020,Color Esperanza 2020,single,0,1,1,0
Farruko,329e4yvIujISKGKz1BZZbO,2018-06-06 19:53:22+00:00,"Diles (feat. Arcangel, Nengo Flow, Dj Luian & Mambo Kings)",Diles,single,2023-03-07 18:46:14+00:00,Color Esperanza 2020,Color Esperanza 2020,single,37,69,106,0
Rubén Blades,5BwMgvRwlq61SmknvsVIQj,2023-03-07 18:46:14+00:00,Color Esperanza 2020,Color Esperanza 2020,single,2023-03-07 18:46:14+00:00,Color Esperanza 2020,Color Esperanza 2020,single,0,1,1,0
Carlos Vives,4vhNDa5ycK0ST968ek7kRr,2019-08-01 21:25:42+00:00,Robarte Un Beso,MANTRA,album,2023-03-07 18:46:14+00:00,Color Esperanza 2020,Color Esperanza 2020,single,2,1,3,0
Diego El Cigala,7mLYMGXg84miYydKwi2aRi,2023-03-07 18:46:14+00:00,Color Esperanza 2020,Color Esperanza 2020,single,2023-03-07 18:46:14+00:00,Color Esperanza 2020,Color Esperanza 2020,single,0,1,1,0
